elements,blocks,threadsPerBlock,GPU
10000000, 256, 256, 0.004264
10000000, 256, 400, 0.005369
10000000, 256, 512, 0.006287
10000000, 256, 750, 0.008348
10000000, 256, 1024, 0.011028
10000000, 512, 32, 0.001546
10000000, 512, 50, 0.001941
10000000, 512, 64, 0.002344
10000000, 512, 100, 0.003879
10000000, 512, 128, 0.004339
10000000, 512, 200, 0.005262
10000000, 512, 256, 0.006513
10000000, 512, 400, 0.009162
10000000, 512, 512, 0.011696
10000000, 512, 750, 0.015536
10000000, 512, 1024, 0.021088
10000000, 1024, 32, 0.002477
10000000, 1024, 50, 0.003293
10000000, 1024, 64, 0.004337
10000000, 1024, 100, 0.005865
10000000, 1024, 128, 0.006588
10000000, 1024, 200, 0.009458
10000000, 1024, 256, 0.012251
10000000, 1024, 400, 0.017568
10000000, 1024, 512, 0.021913
10000000, 1024, 750, 0.031394
10000000, 1024, 1024, 0.042409
10000000, 2048, 32, 0.000508
10000000, 2048, 50, 0.000518
10000000, 2048, 64, 0.000530
10000000, 2048, 100, 0.000518
10000000, 2048, 128, 0.000522
10000000, 2048, 200, 0.000517
10000000, 2048, 256, 0.000531
10000000, 2048, 400, 0.000518
10000000, 2048, 512, 0.000515
10000000, 2048, 750, 0.000520
10000000, 2048, 1024, 0.000534
10000000, 4096, 32, 0.000532
10000000, 4096, 50, 0.000525
10000000, 4096, 64, 0.000516
10000000, 4096, 100, 0.000523
10000000, 4096, 128, 0.000516
10000000, 4096, 200, 0.000534
10000000, 4096, 256, 0.000520
10000000, 4096, 400, 0.000519
10000000, 4096, 512, 0.000526
10000000, 4096, 750, 0.000522
10000000, 4096, 1024, 0.000521
10000000, 8192, 32, 0.000522
10000000, 8192, 50, 0.000516
10000000, 8192, 64, 0.000531
10000000, 8192, 100, 0.000519
10000000, 8192, 128, 0.000508
10000000, 8192, 200, 0.000519
10000000, 8192, 256, 0.000521
10000000, 8192, 400, 0.000517
10000000, 8192, 512, 0.000523
10000000, 8192, 750, 0.000525
10000000, 8192, 1024, 0.000521
10000000, 16384, 32, 0.000528
10000000, 16384, 50, 0.000525
10000000, 16384, 64, 0.000520
10000000, 16384, 100, 0.000520
10000000, 16384, 128, 0.000516
10000000, 16384, 200, 0.000530
10000000, 16384, 256, 0.000515
10000000, 16384, 400, 0.000510
10000000, 16384, 512, 0.000517
10000000, 16384, 750, 0.000523
10000000, 16384, 1024, 0.000518
10000000, 32768, 32, 0.000533
10000000, 32768, 50, 0.000518
10000000, 32768, 64, 0.000520
10000000, 32768, 100, 0.000517
10000000, 32768, 128, 0.000517
10000000, 32768, 200, 0.000532
10000000, 32768, 256, 0.000519
10000000, 32768, 400, 0.000519
10000000, 32768, 512, 0.000522
10000000, 32768, 750, 0.000518
10000000, 32768, 1024, 0.000529
10000000, 32, 32, 0.001192
10000000, 32, 50, 0.001076
10000000, 32, 64, 0.001032
10000000, 32, 100, 0.000993
10000000, 32, 128, 0.001041
10000000, 32, 200, 0.001076
10000000, 32, 256, 0.001116
10000000, 32, 400, 0.001264
10000000, 32, 512, 0.001492
10000000, 32, 750, 0.001854
10000000, 32, 1024, 0.002220
10000000, 64, 32, 0.001049
10000000, 64, 50, 0.000999
10000000, 64, 64, 0.001044
10000000, 64, 100, 0.001069
10000000, 64, 128, 0.001120
10000000, 64, 200, 0.001307
