elements,blocks,threadsPerBlock,GPU,total global memory(KB),clock rate(KHz),multiprocessor count,async engine count,memory bus width,memory clock rate (KHz),L2 cache size (bytes),max threads per SM
10000,4096,128,0.004567,11268608,1635000,68,3,352,7000000,5767168,1024
10000,4096,200,0.004803,11268608,1635000,68,3,352,7000000,5767168,1024
10000,4096,256,0.004968,11268608,1635000,68,3,352,7000000,5767168,1024
10000,4096,400,0.0048,11268608,1635000,68,3,352,7000000,5767168,1024
10000,4096,512,0.004592,11268608,1635000,68,3,352,7000000,5767168,1024
10000,4096,750,0.004718,11268608,1635000,68,3,352,7000000,5767168,1024
10000,4096,1024,0.004713,11268608,1635000,68,3,352,7000000,5767168,1024
10000,8192,32,0.004641,11268608,1635000,68,3,352,7000000,5767168,1024
10000,8192,50,0.004245,11268608,1635000,68,3,352,7000000,5767168,1024
10000,8192,64,0.004382,11268608,1635000,68,3,352,7000000,5767168,1024
10000,8192,100,0.004614,11268608,1635000,68,3,352,7000000,5767168,1024
10000,8192,128,0.004429,11268608,1635000,68,3,352,7000000,5767168,1024
10000,8192,200,0.004302,11268608,1635000,68,3,352,7000000,5767168,1024
10000,8192,256,0.004562,11268608,1635000,68,3,352,7000000,5767168,1024
10000,8192,400,0.004722,11268608,1635000,68,3,352,7000000,5767168,1024
10000,8192,512,0.004491,11268608,1635000,68,3,352,7000000,5767168,1024
10000,8192,750,0.004346,11268608,1635000,68,3,352,7000000,5767168,1024
10000,8192,1024,0.004759,11268608,1635000,68,3,352,7000000,5767168,1024
10000,16384,32,0.004562,11268608,1635000,68,3,352,7000000,5767168,1024
10000,16384,50,0.004245,11268608,1635000,68,3,352,7000000,5767168,1024
10000,16384,64,0.004419,11268608,1635000,68,3,352,7000000,5767168,1024
10000,16384,100,0.004696,11268608,1635000,68,3,352,7000000,5767168,1024
10000,16384,128,0.004489,11268608,1635000,68,3,352,7000000,5767168,1024
10000,16384,200,0.004446,11268608,1635000,68,3,352,7000000,5767168,1024
10000,16384,256,0.004612,11268608,1635000,68,3,352,7000000,5767168,1024
10000,16384,400,0.004694,11268608,1635000,68,3,352,7000000,5767168,1024
10000,16384,512,0.004849,11268608,1635000,68,3,352,7000000,5767168,1024
10000,16384,750,0.004559,11268608,1635000,68,3,352,7000000,5767168,1024
10000,16384,1024,0.00456,11268608,1635000,68,3,352,7000000,5767168,1024
