elements,clusters,Iterations,blocks,threadsPerBlock,GPU
100000,10,94,8192,512,0.129585
100000,10,95,8192,750,0.127724
100000,10,95,8192,1024,0.128658
100000,10,95,16384,32,0.126308
100000,10,94,16384,50,0.124966
100000,10,87,16384,64,0.154762
100000,10,88,16384,100,0.124367
100000,10,87,16384,128,0.123501
100000,10,87,16384,200,0.122709
100000,10,87,16384,256,0.135822
100000,10,54,16384,400,0.107883
100000,10,55,16384,512,0.109711
100000,10,55,16384,750,0.112418
100000,10,55,16384,1024,0.114129
100000,10,54,32768,32,0.113843
100000,10,60,32768,50,0.111015
100000,10,60,32768,64,0.112503
100000,10,60,32768,100,0.110761
100000,10,60,32768,128,0.111049
100000,10,56,32768,200,0.109137
100000,10,56,32768,256,0.139652
100000,10,146,32768,400,0.162431
100000,10,146,32768,512,0.164315
100000,10,146,32768,750,0.185447
100000,10,144,32768,1024,0.188655
100000,10,104,32,32,0.143622
100000,10,105,32,50,0.123959
100000,10,105,32,64,0.1274
100000,10,106,32,100,0.125343
100000,10,106,32,128,0.123676
100000,10,66,32,200,0.106979
100000,10,67,32,256,0.113697
100000,10,67,32,400,0.106993
100000,10,67,32,512,0.106708
100000,10,67,32,750,0.107216
100000,10,67,32,1024,0.109726
100000,10,80,64,32,0.113649
100000,10,81,64,50,0.114097
100000,10,81,64,64,0.115349
100000,10,81,64,100,0.138111
100000,10,80,64,128,0.112428
100000,10,85,64,200,0.114625
100000,10,85,64,256,0.114421
100000,10,85,64,400,0.11652
100000,10,84,64,512,0.115094
100000,10,85,64,750,0.116009
100000,10,84,64,1024,0.116585
100000,10,76,128,32,0.111942
100000,10,76,128,50,0.111335
100000,10,76,128,64,0.110959
100000,10,76,128,100,0.111248
100000,10,75,128,128,0.110951
100000,10,85,128,200,0.130839
100000,10,83,128,256,0.116266
100000,10,84,128,400,0.115759
100000,10,85,128,512,0.118121
100000,10,84,128,750,0.116148
100000,10,84,128,1024,0.115631
100000,10,96,256,32,0.118482
100000,10,96,256,50,0.119188
100000,10,96,256,64,0.118819
100000,10,96,256,100,0.123024
100000,10,96,256,128,0.121357
100000,10,82,256,200,0.115038
100000,10,82,256,256,0.115869
100000,10,82,256,400,0.115273
100000,10,82,256,512,0.117475
100000,10,82,256,750,0.115496
100000,10,63,256,1024,0.108525
100000,10,63,512,32,0.110954
100000,10,62,512,50,0.105599
100000,10,63,512,64,0.107332
100000,10,62,512,100,0.106796
100000,10,62,512,128,0.106985
100000,10,63,512,200,0.107108
100000,10,91,512,256,0.119558
100000,10,87,512,400,0.117112
100000,10,87,512,512,0.144276
100000,10,91,512,750,0.118102
100000,10,91,512,1024,0.119776
100000,10,51,1024,32,0.101409
100000,10,50,1024,50,0.103138
100000,10,50,1024,64,0.10265
100000,10,50,1024,100,0.108304
100000,10,50,1024,128,0.102416
100000,10,50,1024,200,0.101857
100000,10,91,1024,256,0.120724
100000,10,91,1024,400,0.119703
100000,10,91,1024,512,0.120246
100000,10,91,1024,750,0.119192
100000,10,91,1024,1024,0.120118
100000,10,91,2048,32,0.118934
100000,10,95,2048,50,0.120995
100000,10,92,2048,64,0.121881
100000,10,95,2048,100,0.120554
100000,10,95,2048,128,0.123394
100000,10,90,2048,200,0.119408
100000,10,90,2048,256,0.119857
100000,10,124,2048,400,0.133327
100000,10,124,2048,512,0.136297
100000,10,124,2048,750,0.133969
100000,10,124,2048,1024,0.134804
100000,10,123,4096,32,0.131743
100000,10,70,4096,50,0.109842
100000,10,70,4096,64,0.112746
100000,10,70,4096,100,0.110348
100000,10,70,4096,128,0.111316
100000,10,70,4096,200,0.11061
100000,10,70,4096,256,0.111998
100000,10,69,4096,400,0.110289
100000,10,71,4096,512,0.112719
100000,10,70,4096,750,0.111727
100000,10,69,4096,1024,0.111352
100000,10,71,8192,32,0.111097
100000,10,70,8192,50,0.110814
100000,10,104,8192,64,0.128929
100000,10,104,8192,100,0.125445
100000,10,104,8192,128,0.127223
100000,10,114,8192,200,0.13015
100000,10,114,8192,256,0.130921
100000,10,103,8192,400,0.125954
100000,10,47,8192,512,0.10285
100000,10,46,8192,750,0.101717
100000,10,47,8192,1024,0.10329
100000,10,46,16384,32,0.100699
100000,10,47,16384,50,0.101564
100000,10,47,16384,64,0.10362
100000,10,63,16384,100,0.108709
100000,10,63,16384,128,0.109452
100000,10,63,16384,200,0.108055
100000,10,64,16384,256,0.109752
100000,10,64,16384,400,0.110004
100000,10,63,16384,512,0.111562
