elements,blocks,threadsPerBlock,GPU,total global memory(KB),clock rate(KHz),multiprocessor count,async engine count,memory bus width,memory clock rate (KHz),L2 cache size (bytes),max threads per SM
50000,8192,64,0.220515,11268608,1635000,68,3,352,7000000,5767168,1024
50000,8192,100,0.261087,11268608,1635000,68,3,352,7000000,5767168,1024
50000,8192,128,0.199076,11268608,1635000,68,3,352,7000000,5767168,1024
50000,8192,200,0.237754,11268608,1635000,68,3,352,7000000,5767168,1024
50000,8192,256,0.258185,11268608,1635000,68,3,352,7000000,5767168,1024
50000,8192,400,0.244175,11268608,1635000,68,3,352,7000000,5767168,1024
50000,8192,512,0.287916,11268608,1635000,68,3,352,7000000,5767168,1024
50000,8192,750,0.21856,11268608,1635000,68,3,352,7000000,5767168,1024
50000,8192,1024,0.295247,11268608,1635000,68,3,352,7000000,5767168,1024
50000,16384,32,0.190614,11268608,1635000,68,3,352,7000000,5767168,1024
50000,16384,50,0.268034,11268608,1635000,68,3,352,7000000,5767168,1024
50000,16384,64,0.195853,11268608,1635000,68,3,352,7000000,5767168,1024
50000,16384,100,0.26218,11268608,1635000,68,3,352,7000000,5767168,1024
50000,16384,128,0.195237,11268608,1635000,68,3,352,7000000,5767168,1024
50000,16384,200,0.236771,11268608,1635000,68,3,352,7000000,5767168,1024
50000,16384,256,0.258648,11268608,1635000,68,3,352,7000000,5767168,1024
50000,16384,400,0.239678,11268608,1635000,68,3,352,7000000,5767168,1024
50000,16384,512,0.290077,11268608,1635000,68,3,352,7000000,5767168,1024
50000,16384,750,0.242858,11268608,1635000,68,3,352,7000000,5767168,1024
50000,16384,1024,0.325139,11268608,1635000,68,3,352,7000000,5767168,1024
50000,32768,32,0.210243,11268608,1635000,68,3,352,7000000,5767168,1024
50000,32768,50,0.299452,11268608,1635000,68,3,352,7000000,5767168,1024
50000,32768,64,0.221258,11268608,1635000,68,3,352,7000000,5767168,1024
50000,32768,100,0.292343,11268608,1635000,68,3,352,7000000,5767168,1024
50000,32768,128,0.22257,11268608,1635000,68,3,352,7000000,5767168,1024
50000,32768,200,0.266178,11268608,1635000,68,3,352,7000000,5767168,1024
50000,32768,256,0.288685,11268608,1635000,68,3,352,7000000,5767168,1024
50000,32768,400,0.269163,11268608,1635000,68,3,352,7000000,5767168,1024
50000,32768,512,0.322753,11268608,1635000,68,3,352,7000000,5767168,1024
50000,32768,750,0.244393,11268608,1635000,68,3,352,7000000,5767168,1024
50000,32768,1024,0.329274,11268608,1635000,68,3,352,7000000,5767168,1024
100000,32,32,9.835234,11268608,1635000,68,3,352,7000000,5767168,1024
100000,32,50,6.333031,11268608,1635000,68,3,352,7000000,5767168,1024
100000,32,64,5.327331,11268608,1635000,68,3,352,7000000,5767168,1024
100000,32,100,3.904524,11268608,1635000,68,3,352,7000000,5767168,1024
100000,32,128,2.817859,11268608,1635000,68,3,352,7000000,5767168,1024
100000,32,200,2.112053,11268608,1635000,68,3,352,7000000,5767168,1024
100000,32,256,1.88269,11268608,1635000,68,3,352,7000000,5767168,1024
100000,32,400,1.523629,11268608,1635000,68,3,352,7000000,5767168,1024
100000,32,512,1.575039,11268608,1635000,68,3,352,7000000,5767168,1024
100000,32,750,1.702301,11268608,1635000,68,3,352,7000000,5767168,1024
100000,32,1024,1.836102,11268608,1635000,68,3,352,7000000,5767168,1024
100000,64,32,3.728251,11268608,1635000,68,3,352,7000000,5767168,1024
100000,64,50,2.495063,11268608,1635000,68,3,352,7000000,5767168,1024
100000,64,64,1.958143,11268608,1635000,68,3,352,7000000,5767168,1024
100000,64,100,1.4557,11268608,1635000,68,3,352,7000000,5767168,1024
100000,64,128,1.171415,11268608,1635000,68,3,352,7000000,5767168,1024
100000,64,200,0.863351,11268608,1635000,68,3,352,7000000,5767168,1024
100000,64,256,0.832028,11268608,1635000,68,3,352,7000000,5767168,1024
100000,64,400,0.785072,11268608,1635000,68,3,352,7000000,5767168,1024
100000,64,512,0.936872,11268608,1635000,68,3,352,7000000,5767168,1024
100000,64,750,1.045488,11268608,1635000,68,3,352,7000000,5767168,1024
100000,64,1024,0.940836,11268608,1635000,68,3,352,7000000,5767168,1024
100000,128,32,1.947859,11268608,1635000,68,3,352,7000000,5767168,1024
100000,128,50,1.386284,11268608,1635000,68,3,352,7000000,5767168,1024
100000,128,64,1.12008,11268608,1635000,68,3,352,7000000,5767168,1024
100000,128,100,0.93646,11268608,1635000,68,3,352,7000000,5767168,1024
100000,128,128,0.808115,11268608,1635000,68,3,352,7000000,5767168,1024
100000,128,200,0.813654,11268608,1635000,68,3,352,7000000,5767168,1024
100000,128,256,0.832522,11268608,1635000,68,3,352,7000000,5767168,1024
100000,128,400,0.758131,11268608,1635000,68,3,352,7000000,5767168,1024
100000,128,512,0.706795,11268608,1635000,68,3,352,7000000,5767168,1024
100000,128,750,0.747106,11268608,1635000,68,3,352,7000000,5767168,1024
100000,128,1024,0.926514,11268608,1635000,68,3,352,7000000,5767168,1024
100000,256,32,1.112752,11268608,1635000,68,3,352,7000000,5767168,1024
100000,256,50,0.935713,11268608,1635000,68,3,352,7000000,5767168,1024
100000,256,64,0.812363,11268608,1635000,68,3,352,7000000,5767168,1024
100000,256,100,0.914235,11268608,1635000,68,3,352,7000000,5767168,1024
100000,256,128,0.840662,11268608,1635000,68,3,352,7000000,5767168,1024
100000,256,200,0.805816,11268608,1635000,68,3,352,7000000,5767168,1024
100000,256,256,0.692842,11268608,1635000,68,3,352,7000000,5767168,1024
100000,256,400,0.762201,11268608,1635000,68,3,352,7000000,5767168,1024
100000,256,512,0.731578,11268608,1635000,68,3,352,7000000,5767168,1024
100000,256,750,0.725765,11268608,1635000,68,3,352,7000000,5767168,1024
100000,256,1024,0.926662,11268608,1635000,68,3,352,7000000,5767168,1024
100000,512,32,0.801487,11268608,1635000,68,3,352,7000000,5767168,1024
100000,512,50,0.896068,11268608,1635000,68,3,352,7000000,5767168,1024
100000,512,64,0.809112,11268608,1635000,68,3,352,7000000,5767168,1024
100000,512,100,0.91213,11268608,1635000,68,3,352,7000000,5767168,1024
100000,512,128,0.68126,11268608,1635000,68,3,352,7000000,5767168,1024
100000,512,200,0.790442,11268608,1635000,68,3,352,7000000,5767168,1024
100000,512,256,0.694602,11268608,1635000,68,3,352,7000000,5767168,1024
100000,512,400,0.763173,11268608,1635000,68,3,352,7000000,5767168,1024
100000,512,512,0.730524,11268608,1635000,68,3,352,7000000,5767168,1024
100000,512,750,0.726153,11268608,1635000,68,3,352,7000000,5767168,1024
100000,512,1024,0.927125,11268608,1635000,68,3,352,7000000,5767168,1024
100000,1024,32,0.801526,11268608,1635000,68,3,352,7000000,5767168,1024
100000,1024,50,0.907562,11268608,1635000,68,3,352,7000000,5767168,1024
100000,1024,64,0.728632,11268608,1635000,68,3,352,7000000,5767168,1024
100000,1024,100,0.843214,11268608,1635000,68,3,352,7000000,5767168,1024
100000,1024,128,0.678562,11268608,1635000,68,3,352,7000000,5767168,1024
100000,1024,200,0.790903,11268608,1635000,68,3,352,7000000,5767168,1024
100000,1024,256,0.695005,11268608,1635000,68,3,352,7000000,5767168,1024
100000,1024,400,0.76211,11268608,1635000,68,3,352,7000000,5767168,1024
100000,1024,512,0.731654,11268608,1635000,68,3,352,7000000,5767168,1024
100000,1024,750,0.727646,11268608,1635000,68,3,352,7000000,5767168,1024
100000,1024,1024,0.927042,11268608,1635000,68,3,352,7000000,5767168,1024
100000,2048,32,0.672322,11268608,1635000,68,3,352,7000000,5767168,1024
100000,2048,50,0.839835,11268608,1635000,68,3,352,7000000,5767168,1024
100000,2048,64,0.677066,11268608,1635000,68,3,352,7000000,5767168,1024
100000,2048,100,0.842886,11268608,1635000,68,3,352,7000000,5767168,1024
100000,2048,128,0.679626,11268608,1635000,68,3,352,7000000,5767168,1024
100000,2048,200,0.790284,11268608,1635000,68,3,352,7000000,5767168,1024
100000,2048,256,0.69511,11268608,1635000,68,3,352,7000000,5767168,1024
100000,2048,400,0.763949,11268608,1635000,68,3,352,7000000,5767168,1024
100000,2048,512,0.731584,11268608,1635000,68,3,352,7000000,5767168,1024
100000,2048,750,0.7268,11268608,1635000,68,3,352,7000000,5767168,1024
100000,2048,1024,0.926765,11268608,1635000,68,3,352,7000000,5767168,1024
100000,4096,32,0.676855,11268608,1635000,68,3,352,7000000,5767168,1024
100000,4096,50,0.839857,11268608,1635000,68,3,352,7000000,5767168,1024
100000,4096,64,0.6764,11268608,1635000,68,3,352,7000000,5767168,1024
100000,4096,100,0.843392,11268608,1635000,68,3,352,7000000,5767168,1024
100000,4096,128,0.680103,11268608,1635000,68,3,352,7000000,5767168,1024
100000,4096,200,0.790701,11268608,1635000,68,3,352,7000000,5767168,1024
100000,4096,256,0.697121,11268608,1635000,68,3,352,7000000,5767168,1024
100000,4096,400,0.763636,11268608,1635000,68,3,352,7000000,5767168,1024
100000,4096,512,0.730813,11268608,1635000,68,3,352,7000000,5767168,1024
100000,4096,750,0.726862,11268608,1635000,68,3,352,7000000,5767168,1024
100000,4096,1024,0.926753,11268608,1635000,68,3,352,7000000,5767168,1024
100000,8192,32,0.669272,11268608,1635000,68,3,352,7000000,5767168,1024
100000,8192,50,0.839237,11268608,1635000,68,3,352,7000000,5767168,1024
100000,8192,64,0.676227,11268608,1635000,68,3,352,7000000,5767168,1024
100000,8192,100,0.842456,11268608,1635000,68,3,352,7000000,5767168,1024
100000,8192,128,0.680415,11268608,1635000,68,3,352,7000000,5767168,1024
100000,8192,200,0.791672,11268608,1635000,68,3,352,7000000,5767168,1024
100000,8192,256,0.695912,11268608,1635000,68,3,352,7000000,5767168,1024
100000,8192,400,0.763907,11268608,1635000,68,3,352,7000000,5767168,1024
100000,8192,512,0.731125,11268608,1635000,68,3,352,7000000,5767168,1024
100000,8192,750,0.726139,11268608,1635000,68,3,352,7000000,5767168,1024
100000,8192,1024,0.928278,11268608,1635000,68,3,352,7000000,5767168,1024
100000,16384,32,0.676392,11268608,1635000,68,3,352,7000000,5767168,1024
100000,16384,50,0.838659,11268608,1635000,68,3,352,7000000,5767168,1024
100000,16384,64,0.676799,11268608,1635000,68,3,352,7000000,5767168,1024
100000,16384,100,0.844056,11268608,1635000,68,3,352,7000000,5767168,1024
100000,16384,128,0.679957,11268608,1635000,68,3,352,7000000,5767168,1024
100000,16384,200,0.791308,11268608,1635000,68,3,352,7000000,5767168,1024
100000,16384,256,0.695827,11268608,1635000,68,3,352,7000000,5767168,1024
100000,16384,400,0.763939,11268608,1635000,68,3,352,7000000,5767168,1024
100000,16384,512,0.730916,11268608,1635000,68,3,352,7000000,5767168,1024
100000,16384,750,0.726514,11268608,1635000,68,3,352,7000000,5767168,1024
100000,16384,1024,0.928178,11268608,1635000,68,3,352,7000000,5767168,1024
100000,32768,32,0.67716,11268608,1635000,68,3,352,7000000,5767168,1024
100000,32768,50,0.838987,11268608,1635000,68,3,352,7000000,5767168,1024
100000,32768,64,0.676754,11268608,1635000,68,3,352,7000000,5767168,1024
100000,32768,100,0.843181,11268608,1635000,68,3,352,7000000,5767168,1024
100000,32768,128,0.680153,11268608,1635000,68,3,352,7000000,5767168,1024
100000,32768,200,0.791297,11268608,1635000,68,3,352,7000000,5767168,1024
100000,32768,256,0.697884,11268608,1635000,68,3,352,7000000,5767168,1024
100000,32768,400,0.764138,11268608,1635000,68,3,352,7000000,5767168,1024
100000,32768,512,0.730997,11268608,1635000,68,3,352,7000000,5767168,1024
100000,32768,750,0.725686,11268608,1635000,68,3,352,7000000,5767168,1024
