elements,blocks,threadsPerBlock,GPU
10000000, 128, 64, 0.026632
10000000, 128, 100, 0.026590
10000000, 128, 128, 0.026534
10000000, 128, 200, 0.026563
10000000, 128, 256, 0.026539
10000000, 128, 400, 0.026494
10000000, 128, 512, 0.026694
10000000, 128, 750, 0.026581
10000000, 128, 1024, 0.026533
10000000, 256, 32, 0.026634
10000000, 256, 64, 0.026452
10000000, 256, 100, 0.026685
10000000, 256, 128, 0.026481
10000000, 256, 200, 0.026836
10000000, 256, 256, 0.026481
10000000, 256, 400, 0.026479
10000000, 256, 512, 0.026536
10000000, 256, 750, 0.026556
10000000, 256, 1024, 0.026725
10000000, 512, 32, 0.026464
10000000, 512, 64, 0.026507
10000000, 512, 100, 0.026840
10000000, 512, 128, 0.026425
10000000, 512, 200, 0.026622
10000000, 512, 256, 0.026415
10000000, 512, 400, 0.026539
10000000, 512, 512, 0.026479
10000000, 512, 750, 0.026423
10000000, 512, 1024, 0.026574
10000000, 1024, 32, 0.026693
10000000, 1024, 64, 0.026774
10000000, 1024, 100, 0.027071
10000000, 1024, 128, 0.026827
10000000, 1024, 200, 0.027142
10000000, 1024, 256, 0.026739
10000000, 1024, 400, 0.028491
10000000, 1024, 512, 0.026754
10000000, 1024, 750, 0.026710
10000000, 1024, 1024, 0.026804
10000000, 2048, 32, 0.027054
10000000, 2048, 64, 0.027651
10000000, 2048, 100, 0.026626
10000000, 2048, 128, 0.026484
10000000, 2048, 200, 0.026742
10000000, 2048, 256, 0.026941
10000000, 2048, 400, 0.026515
10000000, 2048, 512, 0.026491
10000000, 2048, 750, 0.026532
10000000, 2048, 1024, 0.026535
10000000, 4096, 32, 0.026534
10000000, 4096, 64, 0.026519
10000000, 4096, 100, 0.026635
10000000, 4096, 128, 0.026538
10000000, 4096, 200, 0.026568
10000000, 4096, 256, 0.026564
10000000, 4096, 400, 0.026700
10000000, 4096, 512, 0.026539
10000000, 4096, 750, 0.026528
10000000, 4096, 1024, 0.026531
10000000, 8192, 32, 0.026558
10000000, 8192, 64, 0.026632
10000000, 8192, 100, 0.026541
10000000, 8192, 128, 0.026607
10000000, 8192, 200, 0.026548
10000000, 8192, 256, 0.026502
10000000, 8192, 400, 0.026624
10000000, 8192, 512, 0.026536
10000000, 8192, 750, 0.026503
10000000, 8192, 1024, 0.026557
10000000, 16384, 32, 0.027005
10000000, 16384, 64, 0.027596
10000000, 16384, 100, 0.027042
10000000, 16384, 128, 0.026542
10000000, 16384, 200, 0.026556
10000000, 16384, 256, 0.027080
10000000, 16384, 400, 0.027004
10000000, 16384, 512, 0.026472
10000000, 16384, 750, 0.026477
10000000, 16384, 1024, 0.027148
10000000, 32768, 32, 0.026600
10000000, 32768, 64, 0.026460
10000000, 32768, 100, 0.026550
10000000, 32768, 128, 0.026502
10000000, 32768, 200, 0.026501
10000000, 32768, 256, 0.026511
10000000, 32768, 400, 0.026888
