elements,blocks,threadsPerBlock,GPU,total global memory(KB),clock rate(KHz),multiprocessor count,async engine count,memory bus width,memory clock rate (KHz),L2 cache size (bytes),max threads per SM
50000,512,200,0.000664,11268608,1635000,68,3,352,7000000,5767168,1024
50000,512,256,0.000687,11268608,1635000,68,3,352,7000000,5767168,1024
50000,512,400,0.000578,11268608,1635000,68,3,352,7000000,5767168,1024
50000,512,512,0.000666,11268608,1635000,68,3,352,7000000,5767168,1024
50000,512,750,0.000663,11268608,1635000,68,3,352,7000000,5767168,1024
50000,512,1024,0.000652,11268608,1635000,68,3,352,7000000,5767168,1024
50000,1024,32,0.000715,11268608,1635000,68,3,352,7000000,5767168,1024
50000,1024,50,0.000706,11268608,1635000,68,3,352,7000000,5767168,1024
50000,1024,64,0.000756,11268608,1635000,68,3,352,7000000,5767168,1024
50000,1024,100,0.000609,11268608,1635000,68,3,352,7000000,5767168,1024
50000,1024,128,0.000726,11268608,1635000,68,3,352,7000000,5767168,1024
50000,1024,200,0.000729,11268608,1635000,68,3,352,7000000,5767168,1024
50000,1024,256,0.000743,11268608,1635000,68,3,352,7000000,5767168,1024
50000,1024,400,0.000694,11268608,1635000,68,3,352,7000000,5767168,1024
50000,1024,512,0.000734,11268608,1635000,68,3,352,7000000,5767168,1024
50000,1024,750,0.000711,11268608,1635000,68,3,352,7000000,5767168,1024
50000,1024,1024,0.000506,11268608,1635000,68,3,352,7000000,5767168,1024
50000,2048,32,0.000692,11268608,1635000,68,3,352,7000000,5767168,1024
50000,2048,50,0.000687,11268608,1635000,68,3,352,7000000,5767168,1024
50000,2048,64,0.000588,11268608,1635000,68,3,352,7000000,5767168,1024
50000,2048,100,0.000569,11268608,1635000,68,3,352,7000000,5767168,1024
50000,2048,128,0.000635,11268608,1635000,68,3,352,7000000,5767168,1024
50000,2048,200,0.000621,11268608,1635000,68,3,352,7000000,5767168,1024
50000,2048,256,0.000614,11268608,1635000,68,3,352,7000000,5767168,1024
50000,2048,400,0.000554,11268608,1635000,68,3,352,7000000,5767168,1024
50000,2048,512,0.000657,11268608,1635000,68,3,352,7000000,5767168,1024
50000,2048,750,0.000655,11268608,1635000,68,3,352,7000000,5767168,1024
50000,2048,1024,0.000796,11268608,1635000,68,3,352,7000000,5767168,1024
50000,4096,32,0.000638,11268608,1635000,68,3,352,7000000,5767168,1024
50000,4096,50,0.00064,11268608,1635000,68,3,352,7000000,5767168,1024
50000,4096,64,0.000562,11268608,1635000,68,3,352,7000000,5767168,1024
50000,4096,100,0.000663,11268608,1635000,68,3,352,7000000,5767168,1024
50000,4096,128,0.000566,11268608,1635000,68,3,352,7000000,5767168,1024
50000,4096,200,0.000642,11268608,1635000,68,3,352,7000000,5767168,1024
50000,4096,256,0.000657,11268608,1635000,68,3,352,7000000,5767168,1024
50000,4096,400,0.000599,11268608,1635000,68,3,352,7000000,5767168,1024
50000,4096,512,0.000604,11268608,1635000,68,3,352,7000000,5767168,1024
50000,4096,750,0.000644,11268608,1635000,68,3,352,7000000,5767168,1024
50000,4096,1024,0.000678,11268608,1635000,68,3,352,7000000,5767168,1024
50000,8192,32,0.000684,11268608,1635000,68,3,352,7000000,5767168,1024
50000,8192,50,0.000645,11268608,1635000,68,3,352,7000000,5767168,1024
50000,8192,64,0.000661,11268608,1635000,68,3,352,7000000,5767168,1024
50000,8192,100,0.000718,11268608,1635000,68,3,352,7000000,5767168,1024
50000,8192,128,0.000727,11268608,1635000,68,3,352,7000000,5767168,1024
50000,8192,200,0.000719,11268608,1635000,68,3,352,7000000,5767168,1024
50000,8192,256,0.000619,11268608,1635000,68,3,352,7000000,5767168,1024
50000,8192,400,0.000696,11268608,1635000,68,3,352,7000000,5767168,1024
50000,8192,512,0.00067,11268608,1635000,68,3,352,7000000,5767168,1024
50000,8192,750,0.000641,11268608,1635000,68,3,352,7000000,5767168,1024
50000,8192,1024,0.000689,11268608,1635000,68,3,352,7000000,5767168,1024
50000,16384,32,0.000663,11268608,1635000,68,3,352,7000000,5767168,1024
50000,16384,50,0.000631,11268608,1635000,68,3,352,7000000,5767168,1024
50000,16384,64,0.000682,11268608,1635000,68,3,352,7000000,5767168,1024
50000,16384,100,0.000656,11268608,1635000,68,3,352,7000000,5767168,1024
50000,16384,128,0.000653,11268608,1635000,68,3,352,7000000,5767168,1024
50000,16384,200,0.000534,11268608,1635000,68,3,352,7000000,5767168,1024
50000,16384,256,0.000585,11268608,1635000,68,3,352,7000000,5767168,1024
50000,16384,400,0.000675,11268608,1635000,68,3,352,7000000,5767168,1024
50000,16384,512,0.000673,11268608,1635000,68,3,352,7000000,5767168,1024
50000,16384,750,0.000659,11268608,1635000,68,3,352,7000000,5767168,1024
50000,16384,1024,0.000662,11268608,1635000,68,3,352,7000000,5767168,1024
50000,32768,32,0.000697,11268608,1635000,68,3,352,7000000,5767168,1024
50000,32768,50,0.000682,11268608,1635000,68,3,352,7000000,5767168,1024
50000,32768,64,0.000661,11268608,1635000,68,3,352,7000000,5767168,1024
50000,32768,100,0.000626,11268608,1635000,68,3,352,7000000,5767168,1024
50000,32768,128,0.000682,11268608,1635000,68,3,352,7000000,5767168,1024
