elements,threadsPerBlock,blocks,GPU
100000,256,64,3.149941
100000,256,64,3.148669
100000,256,128,3.606737
100000,256,128,3.605421
100000,256,128,3.618313
100000,256,128,3.610483
100000,256,128,3.612049
100000,256,128,3.611696
100000,256,128,3.609641
100000,256,128,3.612053
100000,256,128,3.611926
100000,256,128,3.612978
100000,256,128,3.658101
100000,256,128,3.621117
100000,256,128,3.626057
100000,256,128,4.455746
100000,256,128,3.650026
100000,256,128,5.652921
100000,256,128,6.682700
100000,256,128,6.688842
100000,256,128,5.639615
100000,256,128,3.686540
100000,256,256,6.055881
100000,256,256,6.059132
100000,256,256,6.109013
100000,256,256,6.055802
100000,256,256,6.069684
100000,256,256,6.065410
100000,256,256,6.069919
100000,256,256,6.074195
100000,256,256,6.076581
100000,256,256,6.068172
100000,256,256,6.078643
100000,256,256,6.087303
100000,256,256,6.125499
100000,256,256,6.089643
100000,256,256,6.087893
100000,256,256,6.099665
100000,256,256,6.101574
100000,256,256,6.106388
100000,256,256,6.108280
100000,256,256,6.105540
100000,256,450,8.625178
100000,256,450,8.706400
100000,256,450,8.651602
100000,256,450,8.653169
100000,256,450,8.657101
100000,256,450,8.661926
100000,256,450,8.651670
100000,256,450,8.667571
100000,256,450,8.751384
100000,256,450,8.682898
100000,256,450,8.678428
100000,256,450,8.683092
100000,256,450,8.714460
100000,256,450,8.695490
100000,256,450,8.706978
100000,256,450,8.765765
100000,256,450,8.705511
100000,256,450,8.708591
100000,256,450,8.705087
100000,256,450,8.713693
100000,256,512,8.700924
100000,256,512,9.733012
100000,256,512,11.319151
100000,256,512,8.652854
100000,256,512,8.670606
100000,256,512,8.695053
100000,256,512,8.701482
100000,256,512,8.705745
100000,256,512,8.716203
100000,256,512,8.768350
100000,256,512,8.720912
100000,256,512,8.717385
100000,256,512,8.722017
100000,256,512,8.719670
100000,256,512,8.714572
100000,256,512,8.717270
100000,256,512,8.758581
100000,256,512,8.724559
100000,256,512,8.731827
100000,256,512,8.694919
100000,256,800,8.707688
100000,256,800,8.716450
100000,256,800,8.728334
100000,256,800,8.779915
100000,256,800,8.724795
100000,256,800,8.715501
100000,256,800,8.729227
100000,256,800,8.715740
100000,256,800,8.719170
100000,256,800,8.789479
100000,256,800,8.714989
100000,256,800,8.720665
100000,256,800,8.721011
100000,256,800,8.716762
100000,256,800,8.718816
100000,256,800,8.782200
100000,256,800,8.776456
100000,256,800,8.723125
100000,256,800,8.718986
100000,256,800,8.734748
100000,256,1024,8.734433
100000,256,1024,8.737054
100000,256,1024,8.722490
100000,256,1024,8.790387
100000,256,1024,8.713710
100000,256,1024,8.725482
100000,256,1024,9.458300
100000,256,1024,8.718350
100000,256,1024,9.959909
100000,256,1024,8.712921
100000,256,1024,8.763491
100000,256,1024,8.739571
100000,256,1024,8.698909
100000,256,1024,8.733229
100000,256,1024,8.724296
100000,256,1024,9.678017
100000,256,1024,9.433840
100000,256,1024,8.720407
100000,256,1024,9.879884
100000,256,1024,8.709529
100000,256,1500,8.713482
100000,256,1500,9.002200
100000,256,1500,8.748589
100000,256,1500,8.814210
100000,256,1500,8.734143
100000,256,1500,8.725042
100000,256,1500,8.707056
100000,256,1500,8.771433
100000,256,1500,8.709699
100000,256,1500,8.722461
100000,256,1500,8.786860
100000,256,1500,8.726490
100000,256,1500,8.721615
100000,256,1500,8.719756
100000,256,1500,8.740690
100000,256,1500,8.718113
100000,256,1500,8.719604
100000,256,1500,8.801552
100000,256,1500,8.727251
100000,256,1500,8.737805
100000,400,1,3.202775
100000,400,1,3.193921
100000,400,1,3.195353
100000,400,1,3.198030
100000,400,1,3.250737
100000,400,1,3.194136
100000,400,1,3.196142
100000,400,1,3.196732
100000,400,1,3.192697
100000,400,1,3.198184
100000,400,1,3.239752
100000,400,1,3.339914
100000,400,1,3.175525
100000,400,1,3.175215
100000,400,1,3.173994
100000,400,1,3.170445
100000,400,1,3.169717
100000,400,1,3.168360
100000,400,1,3.170692
100000,400,1,3.169879
100000,400,2,3.233656
100000,400,2,3.232711
100000,400,2,3.231913
100000,400,2,3.232697
100000,400,2,3.230508
100000,400,2,3.231823
100000,400,2,3.321373
100000,400,2,3.209560
100000,400,2,3.208530
100000,400,2,3.343450
100000,400,2,3.208519
100000,400,2,3.204515
